Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2021-06-28 05:40:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 5, 40, 2021, 179, 5, 40, 27.6, 9, 14.92, 24, 2, 46, -33.6, 55665A30855665A2CA9D71429F8CAE09C65200
2021-06-28 05:30:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 5, 30, 2021, 179, 5, 30, 27.6, 11, 14.84, 28, 3, 46, -33.6, 556657B08556657ACA9D71429F8EEE0BC45200
2021-06-28 05:20:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 5, 20, 2021, 179, 5, 20, 27.3, 8, 14.84, 26, 3, 45, -33.6, 5566553055566552CA9D71429F8DED08C45200
2021-06-28 05:10:00, 35° 51.82512 ', 14° 33.64344 ', 2021, 179, 5, 10, 2021, 179, 5, 10, 27.1, 7, 14.84, 46, 3, 45, -33.6, 556652B03556652ACA9D91429F17ED07C45200
2021-06-28 05:00:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 5, 0, 2021, 179, 5, 0, 26.7, 6, 14.84, 28, 3, 45, -33.6, 5566502FF5566502CA9D51429F8EED06C45200
2021-06-28 04:50:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 4, 50, 2021, 179, 4, 50, 26.4, 8, 14.84, 28, 3, 47, -33.6, 55664CAFC55664CACA9D51429F8EEF08C45200
2021-06-28 04:40:00, 35° 51.81996 ', 14° 33.64344 ', 2021, 179, 4, 40, 2021, 179, 4, 40, 26.0, 8, 14.92, 24, 3, 49, -33.6, 55664A2F855664A2CA9D71429F0CF108C65200
2021-06-28 04:30:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 4, 30, 2021, 179, 4, 30, 25.8, 7, 14.92, 38, 3, 48, -33.6, 556647AF6556647ACA9D51429F93F007C65200
2021-06-28 04:20:00, 35° 51.81480 ', 14° 33.64344 ', 2021, 179, 4, 20, 2021, 179, 4, 24, 25.7, 4, 14.92, 230, 3, 47, -33.6, 5566452F55566462CA9D51429F73EF04C65200
2021-06-28 04:10:00, 35° 51.81480 ', 14° 33.64344 ', 2021, 179, 4, 10, 2021, 179, 4, 10, 25.7, 16, 14.92, 26, 3, 46, -33.6, 556642AF5556642ACA9D51429F0DEE10C65200
2021-06-28 04:00:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 4, 0, 2021, 179, 4, 1, 25.7, 21, 14.92, 50, 3, 47, -33.6, 5566402F55566406CA9D51429F99EF15C65200
2021-06-28 03:50:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 3, 50, 2021, 179, 3, 51, 25.7, 8, 14.92, 76, 3, 46, -33.6, 55663CAF555663CECA9D51429FA6EE08C65200
2021-06-28 03:40:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 3, 40, 2021, 179, 3, 40, 25.7, 7, 14.92, 26, 3, 46, -33.6, 55663A2F555663A2CA9D51429F8DEE07C65200
2021-06-28 03:30:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 3, 30, 2021, 179, 3, 30, 25.8, 15, 14.92, 28, 3, 46, -33.6, 556637AF6556637ACA9D51429F8EEE0FC65200
2021-06-28 03:20:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 3, 20, 2021, 179, 3, 20, 25.7, 1, 14.92, 28, 3, 48, -33.6, 5566352F55566352CA9D71429F8EF001C65200
2021-06-28 03:10:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 3, 10, 2021, 179, 3, 10, 25.8, 7, 14.92, 28, 3, 45, -33.6, 556632AF6556632ACA9D71429F8EED07C65200
2021-06-28 03:00:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 3, 0, 2021, 179, 3, 0, 25.9, 8, 14.92, 26, 3, 44, -33.6, 5566302F75566302CA9D51429F8DEC08C65200
2021-06-28 02:50:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 2, 50, 2021, 179, 2, 50, 25.9, 10, 14.92, 26, 3, 48, -33.6, 55662CAF755662CACA9D71429F8DF00AC65200
2021-06-28 02:40:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 2, 40, 2021, 179, 2, 40, 25.8, 8, 14.92, 40, 3, 45, -33.6, 55662A2F655662A2CA9D71429F94ED08C65200
2021-06-28 02:30:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 2, 30, 2021, 179, 2, 30, 25.7, 9, 14.92, 28, 3, 46, -33.5, 556627AF5556627ACA9D71429F8EEE09C65280
2021-06-28 02:20:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 2, 20, 2021, 179, 2, 20, 25.7, 10, 14.92, 24, 3, 50, -33.5, 5566252F55566252CA9D71429F8CF20AC65280
2021-06-28 02:10:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 2, 10, 2021, 179, 2, 10, 25.8, 15, 14.92, 28, 3, 47, -33.5, 556622AF6556622ACA9D51429F8EEF0FC65280
2021-06-28 02:00:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 2, 0, 2021, 179, 2, 0, 25.8, 8, 14.92, 28, 3, 46, -33.5, 5566202F65566202CA9D51429F8EEE08C65280
2021-06-28 01:50:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 1, 50, 2021, 179, 1, 50, 25.9, 8, 14.92, 30, 3, 46, -33.6, 55661CAF755661CACA9D71429F8FEE08C65200
2021-06-28 01:40:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 179, 1, 40, 2021, 179, 1, 40, 25.9, 8, 14.92, 44, 3, 46, -33.5, 55661A2F755661A2CA9D51429F96EE08C65280
2021-06-28 01:30:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 1, 30, 2021, 179, 1, 30, 25.8, 12, 14.92, 26, 3, 48, -34.3, 556617AF6556617ACA9D71429F8DF00CC64E80
2021-06-28 01:20:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 1, 20, 2021, 179, 1, 20, 25.8, 17, 14.92, 22, 3, 45, -33.5, 5566152F65566152CA9D71429F8BED11C65280
2021-06-28 01:10:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 1, 10, 2021, 179, 1, 10, 25.8, 4, 14.92, 28, 3, 46, -33.5, 556612AF6556612ACA9D71429F8EEE04C65280
2021-06-28 01:00:00, 35° 51.81996 ', 14° 33.64344 ', 2021, 179, 1, 0, 2021, 179, 1, 3, 25.9, 9, 14.92, 200, 3, 45, -34.3, 5566102F7556610ECA9D71429F64ED09C64E80
2021-06-28 00:50:00, 35° 51.83028 ', 14° 33.63828 ', 2021, 179, 0, 50, 2021, 179, 0, 41, 26.0, 8, 14.92, 254, 3, 47, -33.6, 55660CAF855660A6CA9DB1429EFFEF08C65200
2021-06-28 00:40:00, 35° 51.83028 ', 14° 33.63828 ', 2021, 179, 0, 40, 2021, 179, 0, 41, 26.0, 15, 14.92, 92, 3, 44, -33.6, 55660A2F855660A6CA9DB1429EAEEC0FC65200
2021-06-28 00:30:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 0, 30, 2021, 179, 0, 30, 26.1, 4, 14.92, 30, 3, 46, -33.5, 556607AF9556607ACA9D71429F8FEE04C65280
2021-06-28 00:20:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 0, 20, 2021, 179, 0, 20, 26.3, 11, 14.92, 32, 3, 45, -33.5, 5566052FB5566052CA9D71429F90ED0BC65280
2021-06-28 00:10:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 0, 10, 2021, 179, 0, 10, 26.3, 10, 14.92, 32, 3, 46, -33.5, 556602AFB556602ACA9D71429F90EE0AC65280
2021-06-28 00:00:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 179, 0, 0, 2021, 179, 0, 0, 26.4, 10, 14.92, 28, 3, 46, -33.5, 5566002FC5566002CA9D71429F8EEE0AC65280
2021-06-27 23:50:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 178, 23, 50, 2021, 178, 23, 51, 26.5, 9, 14.92, 60, 3, 46, -33.6, 55657CAFD55657CECA9D51429F9EEE09C65200
2021-06-27 23:40:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 178, 23, 40, 2021, 178, 23, 41, 26.7, 8, 14.92, 60, 3, 46, -33.5, 55657A2FF55657A6CA9D71429F9EEE08C65280
2021-06-27 23:30:00, 35° 51.81480 ', 14° 33.65376 ', 2021, 178, 23, 30, 2021, 178, 23, 30, 26.8, 7, 14.92, 32, 3, 45, -33.6, 556577B00556577ACA9D5142A010ED07C65200
2021-06-27 23:20:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 178, 23, 20, 2021, 178, 23, 21, 26.8, 7, 14.92, 56, 3, 44, -33.6, 5565753005565756CA9D71429F9CEC07C65200
2021-06-27 23:10:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 178, 23, 10, 2021, 178, 23, 11, 26.9, 10, 14.92, 58, 3, 47, -33.6, 556572B01556572ECA9D51429F9DEF0AC65200
2021-06-27 23:00:00, 35° 51.81996 ', 14° 33.64860 ', 2021, 178, 23, 0, 2021, 178, 23, 0, 27.0, 7, 14.92, 26, 3, 48, -33.6, 5565703025565702CA9D71429F8DF007C65200
2021-06-27 22:50:00, 35° 51.81996 ', 14° 33.65376 ', 2021, 178, 22, 50, 2021, 178, 22, 50, 26.9, 8, 14.92, 28, 3, 47, -33.6, 55656CB0155656CACA9D7142A00EEF08C65200
2021-06-27 22:40:00, 35° 51.81480 ', 14° 33.64860 ', 2021, 178, 22, 40, 2021, 178, 22, 40, 27.0, 8, 14.92, 30, 3, 47, -33.6, 55656A30255656A2CA9D51429F8FEF08C65200
