Data Date (UTC), LATITUDE, LONGITUDE, YEAR, DAY, HOUR, MIN, GPS_YEAR, GPS_DAY, GPS_HOUR, GPS_MIN, SST, SBDTIME, VBAT, TTFF, FOM, MAXDB, AT, Report Body
2022-07-09 13:00:00, 34.137560, 15.712092, 2022, 190, 13, 0, 2022, 190, 13, 4, 28.1, 11, 10.44, 232, 3, 48, -33.8, 597CD030D597CD12C0D0915CC574F00B565100
2022-07-09 12:00:00, 34.136958, 15.716134, 2022, 190, 12, 0, 2022, 190, 12, 2, 28.1, 46, 10.68, 118, 3, 45, -33.8, 597CC030D597CC0AC0CFB15CDCBBED2E5C5100
2022-07-09 09:00:00, 34.135324, 15.733592, 2022, 190, 9, 0, 2022, 190, 9, 4, 27.9, 52, 11.08, 232, 3, 47, -33.8, 597C9030B597C912C0CD515D4274EF34665100
2022-07-09 08:00:00, 34.139624, 15.750276, 2022, 190, 8, 0, 2022, 190, 7, 3, 27.9, 54, 11.08, 254, 3, 43, -33.8, 597C8030B597C70EC0D3915DA37FEB36665100
2022-07-09 06:00:00, 34.143236, 15.758102, 2022, 190, 6, 0, 2022, 190, 6, 2, 27.9, 54, 11.08, 168, 3, 44, -33.8, 597C6030B597C60AC0D8D15DD0D4EC36665100
2022-07-09 05:00:00, 34.147880, 15.764294, 2022, 190, 5, 0, 2022, 190, 5, 3, 27.9, 10, 11.16, 174, 3, 43, -33.8, 597C5030B597C50EC0DF915DF4D7EB0A685100
2022-07-09 03:00:00, 34.165338, 15.772034, 2022, 190, 3, 0, 2022, 190, 0, 3, 28.0, 7, 11.72, 254, 3, 44, -33.8, 597C3030C597C00EC0F8F15E21FFEC07765100
2022-07-09 02:00:00, 34.165338, 15.772034, 2022, 190, 2, 0, 2022, 190, 0, 3, 28.0, 9, 11.80, 254, 3, 42, -33.8, 597C2030C597C00EC0F8F15E21FFEA09785100
2022-07-09 01:00:00, 34.165338, 15.772034, 2022, 190, 1, 0, 2022, 190, 0, 3, 28.0, 10, 11.96, 254, 3, 45, -33.8, 597C1030C597C00EC0F8F15E21FFED0A7C5100
2022-07-09 00:00:00, 34.165338, 15.772034, 2022, 190, 0, 0, 2022, 190, 0, 3, 28.1, 7, 12.04, 222, 3, 44, -33.8, 597C0030D597C00EC0F8F15E21EFEC077E5100
2022-07-08 23:00:00, 34.166026, 15.771604, 2022, 189, 23, 0, 2022, 189, 23, 2, 28.1, 10, 12.04, 118, 3, 42, -33.8, 597B7030D597B70AC0F9F15E1F3BEA0A7E5100
2022-07-08 22:00:00, 34.166284, 15.772034, 2022, 189, 22, 0, 2022, 189, 22, 4, 28.2, 7, 12.12, 232, 3, 43, -33.8, 597B6030E597B612C0FA515E21F4EB07805100
2022-07-08 21:00:00, 34.165854, 15.774012, 2022, 189, 21, 0, 2022, 189, 21, 2, 28.3, 12, 12.12, 166, 3, 44, -33.8, 597B5030F597B50AC0F9B15E2D53EC0C805100
2022-07-08 20:00:00, 34.165854, 15.778484, 2022, 189, 20, 0, 2022, 189, 20, 1, 28.3, 8, 12.12, 102, 3, 43, -33.8, 597B4030F597B406C0F9B15E4733EB08805100
2022-07-08 19:00:00, 34.166542, 15.784848, 2022, 189, 19, 0, 2022, 189, 19, 1, 28.4, 10, 12.12, 84, 3, 45, -33.8, 597B30310597B306C0FAB15E6C2AED0A805100
2022-07-08 18:00:00, 34.168520, 15.792244, 2022, 189, 18, 0, 2022, 189, 18, 2, 28.4, 11, 12.20, 160, 3, 44, -33.8, 597B20310597B20AC0FD915E9750EC0B825100
2022-07-08 17:00:00, 34.172648, 15.801188, 2022, 189, 17, 0, 2022, 189, 17, 2, 28.5, 8, 12.20, 142, 3, 45, -33.8, 597B10311597B10AC103915ECB47ED08825100
2022-07-08 16:00:00, 34.178238, 15.810476, 2022, 189, 16, 0, 2022, 189, 16, 2, 28.5, 8, 12.20, 148, 3, 43, -33.8, 597B00311597B00AC10BB15F014AEB08825100
2022-07-08 15:00:00, 34.185376, 15.819248, 2022, 189, 15, 0, 2022, 189, 15, 2, 28.6, 10, 12.20, 112, 2, 44, -33.8, 597AF0312597AF0AC116115F3438AC0A825100
2022-07-08 14:00:00, 34.194578, 15.826300, 2022, 189, 14, 0, 2022, 189, 14, 2, 28.6, 11, 12.20, 120, 3, 43, -33.8, 597AE0312597AE0AC123715F5D3CEB0B825100
